author,year,covidence_id,sub_shock,sub_gender,sub_indication,subgroup_level,measure,measure_short,pool,measure_details,test_used,test_used_abbreviation,test_subscale,data_type,cat_measure,test_cutoff,symptom_category,cutoff_notes,clin_sig,mild,mild_plus,mod,mod_plus,sev,v_sev,pool_mod_plus,comparison_group_yesno,comparison_group_detail,comparison_group,study_timepoint,timepoint,timepoint2,time_broad_numerical,time_broad_units,time_descriptive,time_average_type,time_average,time_average_units,time_variance_type,time_variance,time_variance_range_type,time_variance_ll,time_variance_ul,range_units,time_2,time_group1,time_group1_N,time_group2,time_group2_N,time_average2,time_variance2,time_variance_ll2,time_variance_ul2,time_group3,time_group3_N,time_average3,time_variance3,time_variance_ll3,time_variance_ul3,categorical_notes,N_with_condition,N_without_condition,percentage_with_condition,N_total,N_tot_notes,average_type,average,variance_type,variance,range_type,range_ll,range_ul,icd2,icd1_details,icd2_details,N_total_icd2,average_type_icd2,average_icd2,variance_type_icd2,variance_icd2,variance_range_type_icd2,variance_range_ll_icd2,variance_range_ul_icd2,icd3,icd3_details,N_total_icd3,average_type_icd3,average_icd3,variance_type_icd3,variance_icd3,variance_range_type_icd3,variance_range_ll_icd3,variance_range_ul_icd3,icd4,icd4_details,N_total_icd4,average_type_icd4,average_icd4,variance_type_icd4,variance_icd4,variance_range_type_icd4,variance_range_ll_icd4,variance_range_ul_icd4,categorical_notes_comparison,N_with_condition_comparison,N_without_condition_comparison,percentage_with_condition_comparison,N_total_comparison,average_type_comparison,average_comparison,variance_type_comparison,variance_comparison,range_type_comparison,range_ll_comparison,range_ul_comparison,cohen_d_comparison,group1_cohensd_N,group2_cohensd_N,higherscore_cohensd,p_cohens_d_comparison
Amiaz,2017,3404,,,,,depression,d,1,HAM-D < 8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D ≥ 23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cat,symptom,>7,mild,subthreshold depressive symptoms without psychiatric diagnosis,,,1,,,,,,,,,1,1,1,,,pre-implantation,,,,,,,,,,,,,,,,,,,,,,,,,,44,114,28,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2017,3404,,,,,mdd,d,1,MDD diagnosis,Mini International Neuropsychiatric Interview,MINI,,cat,diagnosis,presence,,,,,,,,,,,,,,1,1,1,,,pre-implantation,,,,,,,,,,,,,,,,,,,,,,,,,,3,155,2,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2017,3404,,,,,dysthymia,d,1,Dysthymia diagnosis,Mini International Neuropsychiatric Interview,MINI,,cat,diagnosis,presence,,,,,,,,,,,,,,1,1,1,,,pre-implantation,,,,,,,,,,,,,,,,,,,,,,,,,,10,148,6,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2017,3404,,,,,depression,d,,HAM-D < 8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D ≥ 23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cont,,,,,,,,,,,,,,,,1,1,1,,,pre-implantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,mean,6.5,SD,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2017,3404,,,,,depression,d,,HAM-D < 8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D ≥ 23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cont,,,,,,,,,,,,,,,,2,,,3,month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,mean,4.1,SD,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2017,3404,,,,,depression,d,,HAM-D < 8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D ≥ 23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cont,,,,,,,,,,,,,,,,3,,,1,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,mean,2.7,SD,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arteaga,1995,3357,,,,,depression,d,,,Brief Symptom Index,BSI,depression,cont,,,,,,,,,,,,,yes,control (The reference group was identified by database query of cardiomyopathy or ischemic heart disease with prior myocardial infarction but without a history of syncope or ventricular tachycardia and/or fibrillation.),cardiac,1,,,,,at least 3 months after implantation,mean,10,month,,,,,,,,,,,,,,,,,,,,,,,,,,45,,mean,0.59,SD,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,mean,0.56,SD,0.62,,,,,,,,
Arteaga,1995,3357,,,,,anxiety,a,,,Brief Symptom Index,BSI,anxiety,cont,,,,,,,,,,,,,yes,control (The reference group was identified by database query of cardiomyopathy or ischemic heart disease with prior myocardial infarction but without a history of syncope or ventricular tachycardia and/or fibrillation.),cardiac,1,,,,,at least 3 months after implantation,mean,10,month,,,,,,,,,,,,,,,,,,,,,,,,,,45,,mean,0.59,SD,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,mean,0.68,SD,0.68,,,,,,,,
Arteaga,1995,3357,,,,,phobic anxiety,a,,,Brief Symptom Index,BSI,phobic anxiety,cont,,,,,,,,,,,,,yes,control (The reference group was identified by database query of cardiomyopathy or ischemic heart disease with prior myocardial infarction but without a history of syncope or ventricular tachycardia and/or fibrillation.),cardiac,1,,,,,at least 3 months after implantation,mean,10,month,,,,,,,,,,,,,,,,,,,,,,,,,,45,,mean,0.49,SD,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,mean,0.3,SD,0.38,,,,,,,,
Berg,2019,3245,,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,≥8,suggest disorder+,suggest presence + indicate probable presence of mood disorder,,,1,,,,,,,,,1,1,2,,,in hospital/within 3 days of discharge,,,,,,,,,,,,,,,,,,,,,,,,,pooled HADS 8-10 and >=11,,,29,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg,2019,3245,,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,8-Oct,suggest disorder,suggest presence + indicate probable presence of mood disorder,,1,,,,,,,,,,1,1,2,,,in hospital/within 3 days of discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg,2019,3245,,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,11+,probable disorder,suggest presence + indicate probable presence of mood disorder,1,,,,,,,,,,,1,1,2,,,in hospital/within 3 days of discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg,2019,3245,,,,,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,≥8,suggest disorder+,suggest presence + indicate probable presence of mood disorder,,,1,,,,,,,,,1,1,2,,,in hospital/within 3 days of discharge,,,,,,,,,,,,,,,,,,,,,,,,,pooled HADS 8-10 and >=11,,,17,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg,2019,3245,,,,,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,8-Oct,suggest disorder,suggest presence + indicate probable presence of mood disorder,,1,,,,,,,,,,1,1,2,,,in hospital/within 3 days of discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berg,2019,3245,,,,,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,11+,probable disorder,suggest presence + indicate probable presence of mood disorder,1,,,,,,,,,,,1,1,2,,,in hospital/within 3 days of discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,anxiety,a,,tendency to anxiety was accepted as 8-10 points while having 10 or more points was accepted as anxiety,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,≥8,tendency+,tendency to anxiety was accepted as 8-10 points while having 10 or more points was accepted as anxiety,,,1,,,,,,,,,1,4,4,,,unspecified (can sort of be worked out by break down of participants in Table III. Majority [68.1%] in 1-5y post-ICD),,,,,,,,,,,,,,,,,,,,,,,,,pooled 8-10 (tendency to anxiety) and 10+ anxiety,54,37,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,anxiety,a,,tendency to anxiety was accepted as 8-10 points while having 10 or more points was accepted as anxiety,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,8-Oct,tendency,tendency to anxiety was accepted as 8-10 points while having 10 or more points was accepted as anxiety,,1,,,,,,,,,,1,4,4,,,unspecified (can sort of be worked out by break down of participants in Table III. Majority [68.1%] in 1-5y post-ICD),,,,,,,,,,,,,,,,,,,,,,,,,,12,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,anxiety,a,,tendency to anxiety was accepted as 8-10 points while having 10 or more points was accepted as anxiety,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,≥11,presence,tendency to anxiety was accepted as 8-10 points while having 10 or more points was accepted as anxiety,1,,,,,,,,,,,1,4,4,,,unspecified (can sort of be worked out by break down of participants in Table III. Majority [68.1%] in 1-5y post-ICD),,,,,,,,,,,,,,,,,,,,,,,,,,42,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,depression,d,,having 5-7 points was accepted as tendency to depression while having more than 7 points was accepted as depression,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,≥8,presence,having 5-7 points was accepted as tendency to depression while having more than 7 points was accepted as depression,,,1,,,,,,,,,1,4,4,,,unspecified (can sort of be worked out by break down of participants in Table III. Majority [68.1%] in 1-5y post-ICD),,,,,,,,,,,,,,,,,,,,,,,,,just extracted >7 ,37,54,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,depression,d,,having 5-7 points was accepted as tendency to depression while having more than 7 points was accepted as depression,Hospital Anxiety and Depression Scale,HADS,,cat,symptom,5-Jul,presence,having 5-7 points was accepted as tendency to depression while having more than 7 points was accepted as depression,,1,,,,,,,,,,1,4,4,,,unspecified (can sort of be worked out by break down of participants in Table III. Majority [68.1%] in 1-5y post-ICD),,,,,,,,,,,,,,,,,,,,,,,,,,9,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,1,2,2,,,3-6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,mean,10,SD,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,2,3,3,,,6-12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,mean,8.5,SD,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,3,4,4,,,1-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,mean,8.3,SD,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,4,4,4,,,>5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,mean,12.3,SD,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,1,2,2,,,3-6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,mean,9.2,SD,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,2,3,3,,,6-12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,mean,6.5,SD,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,3,4,4,,,1-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,mean,6.1,SD,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,,,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,4,4,4,,,>5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,mean,10.2,SD,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,Y,,,shock,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,mean,7.4,SD,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,Y,,,no shock,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,mean,6.9,SD,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,Y,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,mean,10.2,SD,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,Y,,,,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,mean,7.4,SD,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,Y,primary,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,mean,7.85,SD,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,Y,secondary,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,mean,7.05,SD,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,Y,primary,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,mean,10.55,SD,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,,Y,secondary,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,mean,8.73,SD,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,Y,,female,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,mean,10,SD,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,Y,,male,depression,d,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,mean,6.8,SD,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,Y,,female,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,mean,12.5,SD,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilge,2006,3091,,Y,,male,anxiety,a,,,Hospital Anxiety and Depression Scale,HADS,,cont,,,,,,,,,,,,,,,,5,5,5,,,3 months to >5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,mean,8.6,SD,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourke,1997,3030,,,,,psychopathology,ad,,Agoraphobic with panic disorder/moderate depressive episode/generalised anxiety disorder/agoraphobia,Unspecified,,,cat,diagnosis,presence,,,,,,,,,,,,,,1,,,,,calculated by averaging months' followup in Table 1,mean,32.3,month,SD,13.9,range,8,43,,,,,,,,,,,,,,,,,,6,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll,2002,3442,,,,,anxiety,a,,,Profile of Mood States,POMS,tension-anxiety,cont,,,,,,,,,,,,,,,,1,1,1,,,hospital admission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,mean,6.36,SD,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll,2002,3442,,,,,anxiety,a,,,Profile of Mood States,POMS,tension-anxiety,cont,,,,,,,,,,,,,,,,2,,,6,month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,mean,3.19,SD,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll,2002,3442,,,,,anxiety,a,,,Profile of Mood States,POMS,tension-anxiety,cont,,,,,,,,,,,,,,,,3,,,12,month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,mean,4.86,SD,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll,2002,3442,,,,,depression,d,,,Profile of Mood States,POMS,depression-dejection,cont,,,,,,,,,,,,,,,,1,1,1,,,hospital admission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,mean,3.78,SD,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll,2002,3442,,,,,depression,d,,,Profile of Mood States,POMS,depression-dejection,cont,,,,,,,,,,,,,,,,2,,,6,month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,mean,2.21,SD,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll,2002,3442,,,,,depression,d,,,Profile of Mood States,POMS,depression-dejection,cont,,,,,,,,,,,,,,,,3,,,12,month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,mean,2.69,SD,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll,2010,3439,,,,,anxiety,a,,state anxiety,State-Trait Anxiety Inventory,STAI-S,state anxiety,cont,,,,,,,,,,,,,,,,1,1,1,,,pre-implant visit,mean,-7,day,SD,2.3,,,,,yes,primary prevention,15,secondary prevention,15,-3,3.4,,,,,,,,,,,,,15,,mean,37.4,SD,10,,,,yes,primary prevention,secondary prevention,15,mean,37.73,SD,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
